prod_id,goods,index,Sum of sales,Sum of MSRP,prod_Q
QFAA7C-A9007X09Y-000,(海克力士) 90*45*180四層鍍鉻層架,傢俱,32757.0,101437.0,43
QFAAHW-A9008XHOF-000,Amos_多功能摺疊櫸木筆電桌,傢俱,14869.0,55769.0,31
CCAA2J-A72266694-000,(神祕富麗) 黑色皮質餐椅,傢俱,16772.0,70000.0,28
QAAY4A-D900A5FHW-000,MyCard 400點虛擬點數卡,下載,126604.0,126604.0,333
QAAY4A-D9009HQZG-000,MyCard 350點虛擬點數卡,下載,109240.0,109240.0,329
QAAY4A-D900A5FHO-000,MyCard 300點虛擬點數卡,下載,84294.0,84294.0,295
QFAD38-A9007CBE2-000,ikloo_不鏽鋼腳踏垃圾桶-30L,收納,11235.0,28200.0,15
QFAD7F-A900A243K-000,加大款室內可移動升降加厚雙桿曬衣架,收納,6797.0,16770.0,13
QFAD4H-A9008J7RF-000,ikloo_日系四層抽屜收納櫃,收納,5950.0,18800.0,10
QABG0B-A900A8N1C-000,美國AOC 70型 4K HDR+聯網液晶顯示器70U6195,預購,4058802.0,11879802.0,198
QABG0S-A900ACM46-000,Redmi Note 8 Pro 6G/64G 深海藍,預購,567514.0,567514.0,86
QABG0B-A900A9R97-000,美國AOC 50型 4K HDR+聯網液晶顯示器50U6090,預購,524392.0,524392.0,59
QFAM5C-A9009E8AE-000,㊣日本製公司貨㊣ HIOKI 3280-10 F 超薄型 鉤錶 交流 電表 電錶,燈飾,64800.0,64800.0,36
QFAMBX-A900AAAOF-000,PVC熱縮軟質封頭140mm&sup2;,燈飾,24960.0,24960.0,32
QFAMBX-A900ADEGW-000,防翹裝置,燈飾,176400.0,176400.0,21
QFAEGM-A900AE0UJ-004,Staub_24cm鑄鐵 圓形鑄鐵鍋4QT(四色任選),餐廚,62384.0,182400.0,16
QFAEGM-A900AE0UJ-002,Staub_24cm鑄鐵 圓形鑄鐵鍋4QT(四色任選),餐廚,58485.0,171000.0,15
QFAEBX-A90084NV7-000,KINTO SCS馬克杯400ml-白,餐廚,3570.0,6900.0,10
QBAH28-A9008ASWP-001,魔力家_即食行熱-雙層隔熱防燙快煮美食鍋 一番神器超值組(電火鍋/料理鍋/蒸架/蒸籠/蒸盤), 廚房家電,13879.0,43130.0,19
QBAH28-A9007ENTJ-004,魔力家_即食行熱-雙層隔熱防燙快煮美食鍋(香檳金白色款)_快煮鍋/料理鍋/電火鍋/電煮鍋/調理鍋, 廚房家電,10675.0,37620.0,19
QBAH28-A9007ENTJ-001,魔力家_即食行熱-雙層隔熱防燙快煮美食鍋(香檳金白色款)_快煮鍋/料理鍋/電火鍋/電煮鍋/調理鍋, 廚房家電,9258.0,31680.0,16
